compound_id,target_id,pkd
"",Q13557,5
"",O60331,5.42021640338319
"",O15111,5
CHEMBL189963,Q6DT37,5
CHEMBL189963,Q16659,5
CHEMBL189963,P11802,8.88605664769316
CHEMBL189963,P11802,9.20760831050175
CHEMBL189963,O43283,5
CHEMBL12380,Q63563,5.5
CHEMBL12380,Q63563,6.12
CHEMBL43524,Q01959,5.88
CHEMBL43524,P31645,6.55
"",Q13705,7.52287874528034
CHEMBL276693,Q63563,5.28
CHEMBL276693,Q63563,6
CHEMBL42150,Q01959,6.66
CHEMBL42150,P31645,5.92
CHEMBL157138,P79400,8
CHEMBL157138,P28335,4.3
CHEMBL157138,P08908,6.3
CHEMBL485745,"",7.21467016498923
CHEMBL485745,"",7.60205999132796
CHEMBL485745,Q9WTU6,7.50863830616573
CHEMBL485745,Q9UK32,7.25963731050576
CHEMBL485745,Q9UBE8,7.24412514432751
CHEMBL485745,Q9BXA7,5
CHEMBL485745,P49674,6.79588001734407
CHEMBL485745,P48729,7.31875876262441
CHEMBL485745,P36888,5.07058107428571
CHEMBL485745,P23458,6.26760624017703
CHEMBL485745,O14976,6.60205999132796
CHEMBL1254511,"",6.95860731484177
CHEMBL1254511,Q56UN5,6.76955107862173
"",Q9UBE8,7.06048074738138
"",Q56UN5,6.50863830616573
"",Q9NYL2,5
"",Q15569,5.0087739243075
"",Q13555,5
"",P42681,5
CHEMBL1630791,Q9Y5S2,5
CHEMBL1630791,Q9UBE8,5
CHEMBL1630791,Q9C098,6.61978875828839
CHEMBL1630791,Q99640,5
CHEMBL1630791,P52333,8.44369749923271
CHEMBL1630791,P29597,6.95860731484177
CHEMBL1630791,P23458,6.92081875395237
CHEMBL1630791,P22694,5
CHEMBL1630791,O75676,5
CHEMBL1630791,O60674,7.95860731484177
CHEMBL2205631,"",5
CHEMBL2205631,Q9H2K8,5
CHEMBL2205631,Q7L7X3,5
CHEMBL2205631,Q6ZN16,5.42021640338319
CHEMBL2205631,O00750,5
CHEMBL2333441,Q9UK32,5
CHEMBL2204526,P42685,5
CHEMBL2204526,P00519,5
"",P42338,7.29242982390206
CHEMBL12614,Q63563,6.16
CHEMBL12614,Q63563,6.34
"",Q9Y463,6.67778070526608
"",Q9UK32,6.09691001300806
"",Q9HAZ1,7.07058107428571
"",Q9C098,5.74472749489669
"",Q9BYT3,6.85387196432176
"",Q9BVS4,5.72124639904717
"",Q92630,6.65757731917779
"",Q8WXR4,5
"",Q8NE63,6.69897000433602
"",Q7L7X3,6
"",Q56UN5,6.4089353929735
"",Q15418,7.15490195998574
"",Q15349,6.88605664769316
"",Q14289,6.07572071393812
"",Q13627,7.58502665202918
"",Q13470,6.18045606445813
"",Q05397,7.88605664769316
"",P78356,5
"",P53350,6.92081875395237
"",P51812,7.88605664769316
"",P49760,6.39794000867204
"",P49759,7.14874165128092
"",P33981,5.72124639904717
"",P08581,6.16749108729376
"",O95835,5
"",O75116,5
"",Q9H2G2,6.09151498112135
"",Q9BUB5,7.30980391997149
"",Q8TBX8,6.26760624017703
"","Q15303, P21860, P04626, P00533",9.39794000867204
"",Q15303,6.50863830616573
"",Q13163,7.44369749923271
"",Q09013,6.46852108295774
"",P51617,7.55284196865778
"",P51451,6.74472749489669
"",P12931,6.2518119729938
"",P08631,6.39794000867204
"",P08581,5.42021640338319
"",P06239,6.53760200210104
"",P04626,8.31875876262441
"",P00519,6.36653154442041
"",O94804,7.11350927482752
"",O75914,5
"",O43683,7.19382002601611
"",O14976,7.30102999566398
"",O14578,6.74472749489669
"",Q96PY6,5
"",P52564,5
CHEMBL1254278,Q13043,5
CHEMBL1254278,P32298,5
CHEMBL286991,Q01959,6.39
CHEMBL286991,Q01959,7.76
CHEMBL286991,Q01959,8.11
CHEMBL286991,P31645,6.02
CHEMBL286991,P31645,6.44
CHEMBL286991,P31645,7.79
CHEMBL11988,Q63563,5.25
CHEMBL1729,"Q9JHJ5, P23979",7.2
CHEMBL1729,Q95136,5.2
CHEMBL1729,P20288,6.5
CHEMBL1729,P18130,7.5
CHEMBL1729,P14842,8.1
CHEMBL1729,P08908,5.7
CHEMBL311789,P31391,7.08
CHEMBL311789,P30872,4.88
"","",5.85387196432176
"",Q9Y2U5,6.39794000867204
"",Q9UPE1,6.32790214206428
"",Q9UK32,7.31875876262441
"",Q9NSY1,6.82390874094432
"",Q9BRS2,6.53760200210104
"",Q99755,5.76955107862173
"",Q99683,6.4089353929735
"",Q8TBX8,8.18708664335714
"",Q56UN5,7.49485002168009
"",Q13873,7.13076828026902
"",P51812,6.53760200210104
"",P48736,8.19382002601611
"",P29597,6.44369749923271
"",P23458,6.52287874528034
"",O75716,7.1249387366083
"",O60331,7.20065945054642
"",O43318,7.63827216398241
CHEMBL3350037,P35346,7.31
CHEMBL3350037,P32745,8.6
CHEMBL3350037,P31391,5.76
CHEMBL3350037,P30874,9.11
CHEMBL3350037,P30872,6.41
CHEMBL454974,Q13705,5
"",Q6P3R8,5.63827216398241
CHEMBL373073,Q9Y4K4,5
CHEMBL373073,P29597,7.2518119729938
CHEMBL373073,O95819,5
"",Q9UM73,5.92081875395237
"",Q9H093,7
"",Q8N4C8,6.85387196432176
"",Q56UN5,8.42021640338319
"",Q13163,6.88605664769316
"",P50750,5
"",P36888,8.02227639471115
"",P31152,5
"",P21127,5
"",P19525,5
"",P10721,6.63827216398241
"",P10721,6.95860731484177
"",P09619,7.95860731484177
"",P07949,7.34678748622466
"",P04629,6.72124639904717
"",O43683,6.88605664769316
"",O15075,5.09691001300806
CHEMBL2392553,Q8N4C8,5.39794000867204
CHEMBL2392553,Q32MK0,7.10237290870956
CHEMBL2392553,O00750,5
CHEMBL40416,Q01959,6.01
CHEMBL40416,P31645,5.79
"",P42685,6.49485002168009
"",P20794,5
CHEMBL37513,Q01959,5.97
CHEMBL37513,P31645,5.54
CHEMBL382103,"",5.72124639904717
CHEMBL382103,P16234,6.25963731050576
CHEMBL382103,P00519,6.48148606012211
CHEMBL2206662,Q56UN5,6.56863623584101
CHEMBL2206662,P00519,6.85387196432176
CHEMBL2206662,O14578,8.95860731484177
"","",5
"",Q9Y463,7.45593195564972
"",Q9UPZ9,7.38721614328026
"",Q9UK32,6.85387196432176
"",Q9BWU1,5
"",Q92630,7.14266750356873
"",Q8TF76,6.95860731484177
"",Q8TD08,6.63827216398241
"",Q8IYT8,6.27572413039921
"",Q8IVW4,6.61978875828839
"",Q13627,7.63827216398241
"",Q00536,6.76955107862173
"",P57078,5
"",P50613,7.07058107428571
"",P49840,8.45593195564972
"",P46734,6.31875876262441
"",P33981,6.15490195998574
"",P11802,6.35654732351381
"",O76039,7.60205999132796
"",B2LUN4,8.61978875828839
CHEMBL2392556,P46734,5
CHEMBL2392556,P0C1S8,6.31875876262441
CHEMBL40961,Q01959,6.97
CHEMBL40961,Q01959,8.11
CHEMBL40961,P31645,5.64
CHEMBL40961,P31645,6.32
CHEMBL1254923,Q9HBH9,6.58502665202918
CHEMBL1254923,Q13976,5
"",Q6P3R8,6.13076828026902
"",O60674,6.85387196432176
"",O15197,7
CHEMBL46,"Q9JHJ5, P23979",7.9
CHEMBL46,"Q9JHJ5, P23979",7.7
CHEMBL27846,"Q9JHJ5, P23979",9.5
CHEMBL1817870,Q9Y616,5
CHEMBL1817870,P36896,5
CHEMBL1817870,P36894,5
CHEMBL1817870,P10721,6.61978875828839
CHEMBL196576,"",6.82390874094432
"",Q9UQ88,4.69897000433602
"",P21127,4.69897000433602
CHEMBL101035,"",6.44369749923271
CHEMBL101035,Q9HBH9,5.82390874094432
CHEMBL101035,Q9BXA7,5
CHEMBL101035,Q9BWU1,5.95860731484177
CHEMBL101035,Q86UX6,5
CHEMBL101035,Q16832,6.50863830616573
CHEMBL101035,Q08345,7.18045606445813
