ALogP,ALogp2,AMR,apol,nA,nC,nF,nG,nK,nS,nT,naAromAtom,nAromBond,nAtom,ATSc1,ATSc2,ATSc3,ATSc4,ATSc5,ATSm1,ATSm2,ATSm3,ATSm4,ATSm5,ATSp1,ATSp2,ATSp3,ATSp4,ATSp5,BCUTw.1l,BCUTw.1h,BCUTc.1l,BCUTc.1h,BCUTp.1l,BCUTp.1h,bpol,nB,C1SP1,C2SP1,C1SP2,C2SP2,C3SP2,C1SP3,C2SP3,C3SP3,C4SP3,SCH.3,SCH.4,SCH.5,SCH.6,SCH.7,VCH.3,VCH.4,VCH.5,VCH.6,VCH.7,SC.3,SC.4,SC.5,SC.6,VC.3,VC.4,VC.5,VC.6,SPC.4,SPC.5,SPC.6,VPC.4,VPC.5,VPC.6,SP.0,SP.1,SP.2,SP.3,SP.4,SP.5,SP.6,SP.7,VP.0,VP.1,VP.2,VP.3,VP.4,VP.5,VP.6,VP.7,ECCEN,FMF,fragC,nHBAcc,nHBDon,HybRatio,Kier1,Kier2,Kier3,khs.sCH3,khs.dCH2,khs.ssCH2,khs.dsCH,khs.aaCH,khs.sssCH,khs.tsC,khs.dssC,khs.aasC,khs.aaaC,khs.ssssC,khs.sNH2,khs.dNH,khs.ssNH,khs.aaNH,khs.tN,khs.dsN,khs.aaN,khs.sssN,khs.ddsN,khs.aasN,khs.sOH,khs.dO,khs.ssO,khs.aaO,khs.sF,khs.ssS,khs.aaS,khs.ddssS,khs.sCl,khs.sBr,khs.sI,nAtomLC,nAtomP,nAtomLAC,MDEC.11,MDEC.12,MDEC.13,MDEC.14,MDEC.22,MDEC.23,MDEC.24,MDEC.33,MDEC.34,MDEO.11,MDEO.12,MDEO.22,MDEN.11,MDEN.12,MDEN.13,MDEN.22,MDEN.23,MDEN.33,MLogP,PetitjeanNumber,topoShape,nRotB,LipinskiFailures,TopoPSA,VAdjMat,MW,WTPT.1,WTPT.2,WTPT.3,WTPT.4,WTPT.5,WPATH,WPOL,XLogP,Zagreb
0.6058,0.366993640000001,116.5402,70.880997,0,0,0,0,0,0,0,16,17,62,0.72414131412314,-0.457033524927921,0.195865186951387,-0.23718958457051,0.341614880720222,37.0688001800173,40.3230948851523,58.8423680325533,63.2023330621377,67.3048682055951,2462.163030085,2956.41281743267,4280.55506223095,4548.62711973659,4332.0334256806,11.9,15.9959338594954,-0.314191829528254,0.243213872701132,5.0910726612426,11.5596068375082,42.859003,37,0,0,5,4,3,6,5,0,0,0,0,0.144337567297406,0.373807158063647,0.558087680828077,0,0,0.144337567297406,0.170377177608996,0.182826103893853,2.12086955245508,0,0.621933986579921,0,0.951912290595576,0,0.215847127813275,0,5.40030855938313,9.86967772650832,13.9537174962041,2.206990473992,3.25759469216891,3.79938665535321,22.9490185104468,16.0248771432526,14.5828728015024,12.6433277472803,11.3477249350496,8.57780605785683,6.4167365065129,4.75981410594458,19.096170153868,11.6421853098157,8.86419899604362,6.72028952754897,4.99342493082552,3.00883380540809,1.84151755658411,1.17253178575394,924,0.848484848484848,3300.09,7,2,0.458333333333333,24.6837107377648,10.9476682093272,5.25931336742148,2,0,8,0,4,1,0,1,5,2,0,0,0,2,0,0,0,3,1,0,1,0,2,0,0,0,0,0,0,0,0,0,3,21,0,0.25,2.74655869241948,5.37671715046855,0,12.1030894427218,21.3992296498365,0,13.0616976255849,0,0.25,0,0,0,0,0,2.46066153105595,2.13506397696752,0.111111111111111,3.11,0.5,1,5,0,105.04,6.20945336562895,447.2382734,68.2912270802468,2.06943112364384,27.6707571277147,5.01352206920714,22.6572350585074,3345,57,3.285,180
4.1411,17.14870921,111.6734,62.557067,0,0,0,0,0,0,0,18,18,50,0.581949897205553,-0.292623472329966,0.0672415920813093,-0.0494287612087345,0.0611883651994989,41.3055700844432,44.7232249761796,62.4304007229038,65.3260638756071,63.7133435394933,2594.2957952083,3106.00251187567,4579.59548866522,4796.94372852188,4526.03329968169,11.9942781630265,31.9720725718585,-0.334873131792152,0.245245475811285,4.26263055974916,12.481351361312,33.420933,34,1,0,2,15,2,2,0,1,0,0,0,0,0.282820570843113,0.562758113720629,0,0,0,0.0914106300187296,0.139975845323527,3.62078667212581,0.454124145231932,0.623839250249364,0.102062072615966,1.53698526346624,0.143350716087846,0.128133033862629,0.00849986196336256,6.12213096535773,9.73073282139685,14.1375161218981,2.03520759516168,2.76065707162516,3.47537277307858,22.2254038713152,14.6826017565782,14.5835272062503,11.3924988986608,9.54274390875034,8.11873447522336,5.76047609347921,4.10934065181836,17.067613644493,9.82849605326185,8.01639867569008,5.08694197876806,3.60848323082469,2.63367101726615,1.52081939443675,0.950436944945954,777,0.774193548387097,1879.08,4,1,0.136363636363636,24.1349480968858,9.70011534025375,5.56686390532544,2,0,0,1,11,0,1,1,5,0,1,0,0,1,0,1,0,0,0,0,1,0,3,1,0,0,0,0,1,0,0,0,3,28,0,0.5,3.97862159365599,2.64419011275306,2,15.0133513368918,22.0099358034978,2.43919502280483,5.40422241278756,1.68765870459462,0.595275394488075,0.5,0,0,0.166666666666667,0.0833333333333333,0,0.166666666666667,0,3.11,0.466666666666667,0.875,4,0,109.57,6.08746284125034,433.10962724,63.1564048881032,2.0373033834872,23.1245080463017,10.6322160776824,8.98834164098248,2688,53,4.183,170
5.834,34.035556,140.4877,78.479755,0,0,0,0,0,0,0,18,18,68,0.426168610324669,-0.265227007860413,-0.0746215995340912,0.214945300518892,-0.13723464020651,34.8544099393704,38.1598213528891,48.3260032860696,47.2150542227203,39.993911308937,2251.98774087168,2540.48966639468,3277.04376920621,3246.40446539406,2838.13031182594,11.85,15.994923479974,-0.348778220112102,0.111136114830449,4.78095379134102,10.9995997986353,46.118245,36,0,0,0,18,2,8,0,0,0,0,0,0,0.370790811898598,0.369226785026512,0,0,0,0.141927807687736,0.135672487384161,1.35395405949299,0,0.0833333333333333,0,0.784684320948493,0,0.0372677996249965,0,3.11954660654522,4.37081085317267,5.32106015377171,1.607900584729,1.95357205202579,2.06553605095472,22.7191214139911,16.2971576333333,13.5879127682232,11.3577781157952,8.89451165517407,7.24327020790361,4.57633601020909,3.35996104844975,19.6443476334901,11.8923459206576,8.56048059022328,6.27836859686491,4.25590315980945,3.02148675538666,1.72316540996557,1.11310951147112,1058,0.939393939393939,3985.04,3,0,0.310344827586207,26.0740740740741,14.5330812854442,8.86426592797784,1,0,8,2,14,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,4,8,3,0,2.5250304966328,0.668740304976422,0,0,17.4583205390547,0,0.880985233811692,0,0,0,0,0,0,0,0,0,0.7937005259841,4.21,0.473684210526316,0.9,10,1,18.95,6.16992500144231,441.27801302,68.0126708147633,2.0609900246898,13.2493757338535,2.78562344503523,10.4637522888182,3928,45,5.664,164
4.1417,17.15367889,110.8458,63.457446,0,0,0,0,0,0,0,18,18,52,0.501190644190525,-0.282500354086275,0.104703878666997,-0.0806831465223744,0.0668828099901124,39.9455897831668,43.5570430429991,60.0980368565429,60.3239148046933,58.8829776520477,2528.48273712912,3007.21227573043,4387.33713573886,4577.14152061371,4259.89673401784,11.9942781766582,31.9720725160383,-0.334866601706676,0.241438978463469,5.38630113635787,12.3787516781423,36.040554,33,0,0,2,15,2,3,0,1,0,0,0,0,0.301549310125745,0.517075767171575,0,0,0,0.095707867195931,0.134878528127075,3.41666252689388,0.454124145231932,0.623839250249364,0.102062072615966,1.48816972699733,0.143350716087846,0.128133033862629,0.00849986196336256,5.77045590917979,8.88333245615302,12.9571403896812,1.98593331950825,2.66811612576742,3.3478911187961,21.3551603833121,14.2507501040001,14.127114403955,10.9557158754763,9.04427525372001,7.83634450910563,5.42822031052757,3.84190741925804,16.9048570993692,9.90131243417546,8.05299390843902,5.13484161711187,3.62893921104325,2.66237922946347,1.53063055662298,0.956543574713248,711,0.833333333333333,2155.07,3,1,0.173913043478261,23.168044077135,9.46938775510204,5.50676378772112,2,0,1,1,12,0,0,1,4,0,1,0,0,1,0,0,0,0,0,0,1,0,3,1,0,0,0,0,1,0,0,0,4,20,0,0.5,4.0801582948784,2.55237189293171,2,17.4601763286799,19.743436017454,2.47960025320227,4.6282380363573,1.66881793499701,0.595275394488075,0.5,0,0,0,0,0,0.166666666666667,0,3.22,0.5,1,5,0,85.78,6.04439411935845,422.13002836,61.2777610454816,2.04259203484939,20.5929102083882,10.6184097075627,6.48410369891016,2455,50,4.326,164
5.157,26.5946490000001,131.4829,75.917755,0,0,0,0,0,0,0,18,18,66,0.274850247007114,-0.171718715252867,-0.0912036959861534,0.213089207830451,-0.0935080870977941,32.0799409038294,35.495637398624,44.6618193318045,42.5508702684552,36.6618193318045,2128.24093390193,2394.40055045962,3060.44975552289,2992.65381547383,2626.23539107531,11.85,14.0051167114561,-0.300922838467457,0.140645193205295,6.56874974134316,10.9295778324138,44.202245,34,0,0,0,16,2,8,2,0,0,0,0,0,0.389519551181231,0.321114262594043,0,0,0,0.146225044864938,0.130415982045037,1.14982991426106,0,0.0833333333333333,0,0.738269024537336,0,0.0372677996249965,0,2.62674732671847,3.84399088247394,4.83437156364375,1.53455751896527,1.94840741974585,2.09867271615328,21.1417711448014,15.3653059807551,12.7969489765651,10.5388462228084,8.43219815137815,6.90894266258541,4.06744732619122,3.02188205074434,18.5729626362097,11.6925865146401,8.515136486362,6.2712754131056,4.39216543343269,3.15700809084433,1.79683752959715,1.19249904299198,956,1,3831.03,3,0,0.357142857142857,24.1349480968858,13.6452136289886,8.37308650765397,0,0,10,0,15,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,3,0,0,0,0,0,14.6021299959413,0,0.408528970321622,0,0,0,0,0,0,0,0,0,0.7937005259841,4.21,0.5,1,10,1,9.72,6.08746284125034,413.2830984,64.1312507066619,2.06875002279554,10.4536339288416,0,10.4536339288416,3326,41,5.663,154
2.2505,5.06475025,100.2129,57.738618,0,0,0,0,0,0,0,9,10,51,0.37861720566387,-0.304146036652417,0.171365220814972,-0.00907016577386699,-0.164637298809827,27.2143902406469,29.993911308937,44.1287228272142,48.0180755644786,45.6549149730565,2015.10313926494,2448.97181735528,3639.93236490424,3832.40095844844,3377.90329640073,11.89,15.9949216960352,-0.29688256650121,0.275295418190291,5.25078361162978,11.6526556286048,34.661382,28,0,0,1,5,4,5,3,0,0,0,0,0.0962250448649376,0.360596177505694,0.726916158243105,0,0,0.0360843918243516,0.144391857742236,0.270924950954786,1.69488806759794,0,0.481659318447569,0,0.9413923275308,0,0.199379980695486,0,4.5132909504743,7.98426790017751,11.1562497525986,2.22595616706263,3.36599273799354,4.22762882092569,17.5516772849483,12.1177235005798,10.9373057905621,9.87860214902721,8.84816354108332,6.83960525041961,5.41181663274902,4.32369618606611,15.1725544905374,9.18681620233733,7.05182595100887,5.62774788650262,4.30398492581623,2.98444464060331,2.03046124964223,1.39779975674845,487,0.64,2316.05,4,2,0.45,18.3673469387755,7.55264723378941,3.33697213444413,3,0,4,1,4,2,0,2,2,2,0,0,0,1,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,5,11,0,0.472470393710577,4.84620029920607,4.18727775936136,0,7.97849785446853,21.4983657052762,0,10.5544277159672,0,0,0,0,0,0,0,0.142857142857143,0.98677707265638,0.2,3.11,0.454545454545455,0.833333333333333,5,0,51.37,5.8073549220576,338.21066166,51.7187487360408,2.06874994944163,15.28150547544,2.53163025602495,12.749875219415,1442,45,2.552,138
4.0956,16.77393936,80.7478,43.538516,0,0,0,0,0,0,0,21,24,34,0.21662753719323,-0.0657923932076104,-0.0489327221274748,0.0258203556743639,0.0153546850748901,24.5819850428721,26.7726750787039,37.8253895548548,37.6592076216743,35.2436044433296,1550.02775883908,1873.70015582211,2713.95995812433,2727.30951001672,2511.4091135376,11.85,18.9984064084358,-0.26406729080917,0.127859089582538,4.08869381850055,11.6516962334613,17.621484,25,0,0,3,12,3,0,0,0,0,0,0,0.0785674201318386,0.470561692719046,0.698049898277567,0,0,0.025,0.131335690737254,0.149329239808105,1.17195177268183,0,0.282360161368813,0,0.470347194294785,0,0.0862467552810695,0,3.03086349150401,5.30923479376748,8.12891718225865,1.06066801161693,1.56493513892165,1.95470784118985,14.9409468209391,10.8264998404949,9.6033404620319,8.39173509683797,7.29890960914899,6.41114785017514,4.38766164700327,3.30979167223391,11.6478084897846,6.96485177674308,4.99683650705944,3.62662775692044,2.61172376960198,1.858458118008,1.02387497875702,0.635754813666613,379,0.954545454545455,907.04,2,0,0,15.5232,6.85714285714286,3.16534777176177,0,0,0,0,12,0,0,0,5,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,21,0,0,0,0,0,15.9254791665503,22.5726819854635,0,6.45510795079386,0,0,0,0,0,0,0,0.166666666666667,0.816496580927726,0,3,0.5,1,2,0,30.19,5.64385618977472,289.1015257,46.0582205990963,2.0935554817771,12.2941997275075,0,9.76668070944642,978,35,4.205,120
4.106,16.859236,99.6779,53.639481,0,0,0,0,0,0,0,21,22,44,0.548548355556709,-0.413857579443165,0.174860023183995,0.0396136769786371,-0.104463353205964,30.3488395774643,32.8242771963826,46.038440656955,43.9277933942194,40.5367444786534,1662.20139929215,1926.97959743106,2617.38272135277,2442.60075392062,2097.30705772318,11.85,15.9959297961313,-0.289987644471911,0.280807722731688,4.93284642750582,9.7279754100802,27.398519,30,0,0,2,15,0,0,0,0,0,0,0,0.0962250448649376,0.473258769857747,0.615089258707078,0,0,0.0372677996249965,0.146854915566659,0.131144484119394,1.58119427513057,0,0.18967853124295,0,0.580933497925256,0,0.0569148252097324,0,3.33037114804189,5.80711279536448,7.39925443600114,1.06439705834682,1.41383447966241,1.37154942737534,18.6396174336883,13.1866731858011,11.7861130805377,9.68691565928646,8.41063092752199,6.5431072596221,4.07278305427993,3.01647238546338,14.5863405977031,8.3590623691842,5.91090073094957,3.98409205037002,2.69336173340796,1.65628992118754,0.773718801207065,0.445272247049223,717,0.925925925925926,1507.07,5,2,0.05,20.28,9.66686496133254,5.3314346742613,1,0,0,0,12,0,0,1,4,2,0,0,0,2,0,0,0,2,0,0,1,0,1,1,0,0,0,0,0,0,0,0,3,26,0,0,1.62502516258733,1.38000859435355,0,12.2101365057217,17.9622620055996,0,5.08927240624888,0,0,0.142857142857143,0,0,0,0,1.10997184072591,0.77219479019218,0,2.89,0.466666666666667,0.875,6,0,81.07,5.90689059560852,359.13822492,55.8237270608707,2.06754544669891,21.3197491306721,5.71723435575955,15.6025147749125,2178,39,2.944,142
-0.4755,0.22610025,81.6761,47.506653,0,0,0,0,0,0,0,9,10,43,0.582357240645038,-0.364545959120747,0.0790361323356978,-0.0156281249742743,-0.00564425193369906,25.3488395774643,26.6583671524305,37.9594057869657,40.8448238858559,36.9039462109837,1495.3064041584,1774.40599523429,2520.97764164312,2550.62297732764,2255.85109256109,11.9933425169849,15.9959272778229,-0.386677075099217,0.228377353940065,4.29795925703478,11.1071682255572,31.175347,24,0,0,4,1,1,4,2,1,0,0,0,0.117851130197758,0.287457478565265,0.476551876836409,0,0,0.0416666666666667,0.106605617545045,0.16334148827719,1.4054362343181,0,0.494807952625906,0,0.82463456500602,0,0.218953788936281,0,3.95587255231122,6.1799806244646,8.41142382084254,1.96146459405158,2.64515433639531,3.21724646356931,15.6898699653825,10.6133922029302,9.40851580673118,8.47818390812446,6.7615350221576,5.14129314870014,3.61412277670794,2.44609022002684,12.859494738658,7.51046207559072,5.87930834378302,4.57110536481236,3.17643610255895,2.13009001958579,1.24114025276625,0.668831843191408,373,0.727272727272727,1563.07,6,2,0.533333333333333,16.84375,7.26643598615917,3.44047080126754,2,0,4,0,3,2,0,1,1,2,0,0,0,0,1,0,0,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,4,10,2,0.25,3.24210321475741,3.84124287324558,0,4.79514209511017,12.6426957563138,0,5.23244964016031,0,0.333333333333333,0,0,0,0,0,1.19055078897615,1.34616586314704,0.333333333333333,2.34,0.5,1,4,0,85.35,5.58496250072116,303.16952508,44.7268685052201,2.03303947751,20.9067646250443,4.90414471985831,16.002619905186,1016,36,0.992,116
3.5013,12.25910169,97.2207,56.405032,0,0,0,0,0,0,0,15,16,49,0.361722732847399,-0.242656042052792,0.103548272011745,-0.0887245353648205,0.0677029391704456,27.2143902406469,28.8277293757566,41.9349696421957,40.0180755644786,35.2391732951844,1674.16361661517,1939.26989432924,2702.47836354604,2494.99165659083,2075.29091219574,11.9932919916092,15.994921710746,-0.351417432341759,0.236559875127622,5.1880231570605,9.73512604033511,31.814968,27,0,0,5,6,3,4,0,0,1,0,0,0.0962250448649376,0.355498860309242,0.505134266258256,0,0,0.0288675134594813,0.0970614419864485,0.116499284963383,2.65431352194122,0.288675134594813,0.634197165423311,0.144337567297406,1.78236918177815,0.25,0.286255354408982,0.0833333333333333,4.48952831356642,6.18989437679541,7.17598336414714,2.02146233904844,2.19527457839949,2.00438254614948,18.026733258566,11.8635232085956,11.516057470508,8.7239836161403,7.11081836532258,5.30784866939985,3.96499229816078,3.11757264433572,15.1285844161673,8.40785017592124,7.24076446843777,4.14791782910395,2.71689483271812,1.66678838287403,1.03778510157391,0.631942233965353,608,0.68,2001.05,4,2,0.3,19.7530864197531,8.34714003944773,5.04166666666667,4,0,1,0,8,0,0,1,4,1,1,0,0,2,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,18,0,1.09544511501033,5.49467980388171,3.71365807135454,2.06789261582868,8.2862235084126,15.638947672277,1.67161065053878,3.85970081508977,1.2242141040926,0,0,0,0,0,0,0.685006710594441,1.04004191152595,0,3.11,0.466666666666667,0.875,6,0,58.43,5.75488750216347,336.19501158,50.5593185484185,2.02237274193674,15.0835183542733,2.57274653255981,12.5107718217135,1711,37,4.856,132
