compound_id,compound_smiles
CHEMBL10,CS(=O)c1ccc(cc1)c1[nH]c(c2ccc(cc2)F)c(c2ccncc2)n1
CHEMBL1000,c1ccc(cc1)C(c1ccc(cc1)Cl)N1CCN(CC1)CCOCC(=O)O
CHEMBL100006,Cc1cc(cc(CC(C)N)c1OC)OC
CHEMBL100297,CN(CCc1c[nH]c2ccccc12)C(=O)c1ccccc1C(=O)N(CCCN1CCSCC1)CCc1c[nH]c2ccccc12
CHEMBL100298,c1ccc(c(c1)C(=O)N(CCCN1CCSCC1)CCc1c[nH]c2ccccc12)C(=O)N(CCCN1CCSCC1)CCc1c[nH]c2ccccc12
CHEMBL100401,COc1ccccc1N1CCN(CCCOc2ccc(cc2)C(=O)Nc2ccccc2OCCCC(=O)O)CC1
CHEMBL100406,CC(=O)N(C)C(C#CCN1CCCC1)c1ccccc1
CHEMBL100486,CN(C)CCCN1C(=O)CSC1c1ccc(cc1)Cl
CHEMBL10049,CCCOC1(COc2ccccc2O1)C1=NCCN1
CHEMBL100531,CNCCc1cc(c(c(c1)OC)OC)OC
CHEMBL100534,COc1cccc(c1OCCNC[C@@H]1C(c2ccccc2)Oc2ccccc2O1)OC
CHEMBL100539,c1ccc(cc1)C(=NCC12CC3CC(CC(C3)C2)C1)O
CHEMBL100606,COc1ccccc1NC(=O)c1ccc(cc1)OCCCN1CCN(CC1)c1ccccc1OC
CHEMBL100623,CCc1cc2c(cc1C(=C)c1ccc(cc1)C(=O)O)C(C)(C)CCC2(C)C
CHEMBL100847,CC(C)(C)c1cc(NC(=NC2CCc3ccccc23)O)n(c2ccccc2)n1
CHEMBL100986,CC1(C)CCC(C)(C)c2cc(c(cc12)C(=O)c1ccc(cc1)C(=O)O)O
CHEMBL101035,Cc1ccc(cc1)n1c(cc(C(C)(C)C)n1)NC(=O)Nc1ccc(cc1)OCCN1CCOCC1
CHEMBL101212,C=C(c1ccc(cc1)C(=O)O)c1cc2c(cc1OC)C(C)(C)CCC2(C)C
CHEMBL101253,c1ccc2c(c1)c(Cc1ccncc1)nnc2Nc1ccc(cc1)Cl
CHEMBL101302,CCCc1cc2c(cc1C(=C)c1ccc(cc1)C(=O)O)C(C)(C)CCC2(C)C
CHEMBL101488,Cc1ccc(cc1)C(CCN1CCN(CC1)c1ccccc1OC)Oc1ccc(cc1)NC(=O)c1ccccc1OCCCC(=O)O
CHEMBL101514,COc1cccc(c1OCCNC[C@H]1C(=O)c2ccccc2OC1c1ccccc1)OC
CHEMBL101576,COc1ccccc1N1CCN(CCC(c2ccccc2)Oc2ccc(cc2)NC(=O)c2ccccc2OCCCC(=O)O)CC1
CHEMBL1016,CCOc1nc2cccc(c2n1Cc1ccc(cc1)c1ccccc1c1n[nH]nn1)C(=O)O
CHEMBL101609,C=C(c1ccc(cc1)C(=O)O)c1cc2c(cc1Cl)C(C)(C)CCC2(C)C
CHEMBL101645,c1ccc(cc1)C(C#CCN1CCCC1)N1CCCC1=O
CHEMBL101646,c1ccc(cc1)C1CCN(CC#CCN2CCCC2)C1=O
CHEMBL101661,C=C(c1ccc(cc1)C(=O)O)c1cc2c(cc1Br)C(C)(C)CCC2(C)C
CHEMBL101666,CC(C)c1cc2c(cc1C(=O)c1ccc(cc1)C(=O)O)C(C)(C)CCC2(C)C
CHEMBL101712,CC1(C)CCC(C)(C)c2cc(c(cc12)C(=O)c1ccc(cc1)C(=O)O)Br
CHEMBL101778,COc1ccccc1N1CCN(CCCCCCOc2ccc(cc2)C(=O)Nc2ccccc2OCCCC(=O)O)CC1
CHEMBL10188,CC[C@@H](c1ccccc1)N=C(c1c2ccccc2nc(c2ccccc2)c1O)O
CHEMBL101892,c1c(c2c(N)ncnc2n1[C@H]1[C@@H]([C@@H]([C@@H](CO)O1)O)O)C(=N)O
