compound_id,target_id,pkd
CHEMBL101035,P09619,5.56863623584101
CHEMBL101035,P10721,5.35654732351381
CHEMBL101035,P31751,5
CHEMBL101035,P36888,6.76955107862173
CHEMBL101035,Q08345,7.18045606445813
CHEMBL101035,Q16832,6.50863830616573
CHEMBL101035,Q86UX6,5
CHEMBL101035,Q9BWU1,5.95860731484177
CHEMBL101035,Q9BXA7,5
CHEMBL101035,Q9HBH9,5.82390874094432
CHEMBL105442,P57078,5
CHEMBL105442,Q9UPZ9,5
CHEMBL1088751,Q00532,5
CHEMBL11714,Q63563,7.795
CHEMBL11983,Q63563,8.165
CHEMBL11988,Q63563,5.25
CHEMBL12138,Q63563,7.025
CHEMBL12139,Q63563,5.5
CHEMBL12305,Q63563,7.78
CHEMBL12339,Q63563,7.94
CHEMBL12359,Q63563,6.44
CHEMBL12380,Q63563,5.81
CHEMBL12489,Q63563,6.85
CHEMBL1253915,P51957,5
CHEMBL1253915,Q9BX84,5
CHEMBL1254192,Q9UEW8,5
CHEMBL1254278,P32298,5
CHEMBL1254278,Q13043,5
CHEMBL1254511,Q56UN5,6.76955107862173
CHEMBL1254923,Q13976,5
CHEMBL1254923,Q9HBH9,6.58502665202918
CHEMBL12552,Q63563,7.615
CHEMBL12614,Q63563,6.25
CHEMBL12698,Q63563,5.575
CHEMBL12778,Q63563,5.13
CHEMBL128,P08908,5.5
CHEMBL128,P28335,4.8
CHEMBL128,P79400,7.6
CHEMBL143197,P23979,9.2
CHEMBL143197,Q9JHJ5,9.2
CHEMBL157138,P08908,6.3
CHEMBL157138,P28335,4.3
CHEMBL157138,P79400,8
CHEMBL1630791,O60674,7.95860731484177
CHEMBL1630791,O75676,5
CHEMBL1630791,P22694,5
CHEMBL1630791,P23458,6.92081875395237
CHEMBL1630791,P29597,6.95860731484177
CHEMBL1630791,P52333,8.44369749923271
CHEMBL1630791,Q99640,5
CHEMBL1630791,Q9C098,6.61978875828839
CHEMBL1630791,Q9UBE8,5
CHEMBL1630791,Q9Y5S2,5
CHEMBL1642655,Q8NFD2,5
CHEMBL1684075,Q8NE63,5
CHEMBL1729,P08908,5.7
CHEMBL1729,P14842,8.1
CHEMBL1729,P18130,7.5
CHEMBL1729,P20288,6.5
CHEMBL1729,P23979,7.2
CHEMBL1729,Q95136,5.2
CHEMBL1729,Q9JHJ5,7.2
CHEMBL1817870,P10721,6.61978875828839
CHEMBL1817870,P36894,5
CHEMBL1817870,P36896,5
CHEMBL1817870,Q9Y616,5
CHEMBL1823872,P30872,9.08
CHEMBL1823872,P30874,10.06
CHEMBL1823872,P31391,8.39
CHEMBL1823872,P32745,9.67
CHEMBL1823872,P35346,9.01
CHEMBL1836641,P29376,5
CHEMBL1836641,P42685,5
CHEMBL1836641,P51956,6.67778070526608
CHEMBL1836641,Q56UN5,7.69897000433602
CHEMBL1836641,Q9UEE5,6.60205999132796
CHEMBL1836719,Q9UEE5,6.65757731917779
CHEMBL183993,O75716,6.67778070526608
CHEMBL183993,O76039,6.85387196432176
CHEMBL183993,P20794,5.08092190762393
CHEMBL183993,P37173,6.30980391997149
CHEMBL183993,P46734,6.30980391997149
CHEMBL183993,P49759,7.22184874961636
CHEMBL183993,P49760,7.85387196432176
CHEMBL183993,P51617,6.45593195564972
CHEMBL183993,Q04912,5
CHEMBL183993,Q6P3R8,6.43179827593301
CHEMBL183993,Q86Z02,6.95860731484177
CHEMBL183993,Q8NE63,6.61978875828839
CHEMBL183993,Q8TBX8,6.10790539730952
CHEMBL183993,Q8TD08,7.31875876262441
CHEMBL183993,Q8TDX7,6
CHEMBL183993,Q9BVS4,6.60205999132796
CHEMBL183993,Q9H2X6,7
CHEMBL183993,Q9H422,7
CHEMBL183993,Q9UPZ9,6.43179827593301
CHEMBL18772,P23979,8.69
CHEMBL18772,Q9JHJ5,8.69
CHEMBL18840,P08908,9.5
CHEMBL18840,P08909,6.2
CHEMBL18840,P28221,8.8
